# Preset bank D: DRIFT drums
# 001-024 low · 025-048 snap · 049-072 hat · 073-096 metal · 097-160 hand · 161-192 wood · 193-224 slice · 225-256 loop
# slot | NAME (12 max) | recipe        | tags                   | sample on the +Drive | parameters
093 | FINGER OPEN  | metal-ring    | Metallic, Soft         | CORE/BELL/skin_bell_finger-cymbals-open
094 | GARKABEBS RL | metal-ring    | Metallic, Soft         | CORE/BELL/skin_bell_garkabebs-roll
097 | WATER SPLASH | hand-room     | Percussion, Soft       | DRIFT/WOOD/fnd_wood_watersplash2-clean
098 | CONGA SOFT   | hand-room     | Percussion, Soft       | CORE/HAND/808_hand_conga-low-sat-a-01
099 | BONGO DIRT   | hand-room     | Percussion, Soft       | CORE/HAND/vdm_hand_bongo-727-dirt-01
100 | 808 CONGA HI | hand-room     | Percussion, Soft       | CORE/HAND/808_hand_conga-hi-color-11
101 | BONGO CR78   | hand-room     | Percussion, Soft       | CORE/HAND/vdm_hand_bongo-cr78-pop-02
102 | CONGA MID    | hand-room     | Percussion, Soft       | CORE/HAND/808_hand_conga-mid-color-11
103 | BONGO RHYTHM | hand-room     | Percussion, Soft       | CORE/HAND/vdm_hand_bongo-rhythm-standard-0
104 | CONGA MID 2  | hand-room     | Percussion, Soft       | CORE/HAND/808_hand_conga-mid-sat-a-01
105 | CONGA 505 01 | hand-room     | Percussion, Soft       | CORE/HAND/vdm_hand_conga-505-standard-01
106 | CONGA DRIVE  | hand-room     | Percussion, Soft       | CORE/HAND/vdm_hand_conga-808-drive-02
107 | CONGA DDD 1  | hand-room     | Percussion, Soft       | CORE/HAND/vdm_hand_conga-ddd1-standard-02
108 | CONGA MR16   | hand-room     | Percussion, Soft       | CORE/HAND/vdm_hand_conga-mr16-standard-02
161 | GARDEN FORK  | wood-click    | Percussion             | DRIFT/WOOD/fnd_wood_gardenforksnare3-clean
162 | PLASTIC BIN  | wood-click    | Percussion             | DRIFT/WOOD/fnd_wood_bigplasticbin4-clean
163 | BALL KICK 2  | wood-found    | Percussion, Atmosphere | DRIFT/WOOD/fnd_wood_ballkickbounce-clean
