# Preset bank H: DRIFT tones
# 001-032 bass · 033-080 stab · 081-112 keys · 113-160 lead · 161-192 pad · 193-224 scape · 225-240 noise · 241-256 fx
# slot | NAME (12 max) | recipe        | tags                   | sample on the +Drive | parameters
126 | ANALOG STR   | flute-breath  | Lead, Soft             | DRIFT/HORN/kawa_horn_analog-strings-c3
127 | STR CHORUS 2 | flute-breath  | Lead, Soft             | DRIFT/HORN/360_horn_strings-chorus-c3
128 | WARM STRINGS | flute-breath  | Lead, Soft             | DRIFT/HORN/kawa_horn_warm-strings-c3
129 | STEEL AC     | steel-swell   | Lead, Atmosphere       | DRIFT/GTR/drs_gtr_acoustic-tremolo-13-c3
130 | STEEL NYLON  | steel-swell   | Lead, Atmosphere       | DRIFT/GTR/360_gtr_nylon-guitar-vibrato-c3
131 | STEEL AC 2   | steel-swell   | Lead, Atmosphere       | DRIFT/GTR/mirg_gtr_acoustic-guitar-chor-c3
132 | VOX VOICES   | flute-breath  | Lead, Soft             | DRIFT/VOX/kawa_vox_voices-c3
161 | GLASS HOWL   | pad-glass     | Pad, Bright            | DRIFT/PAD/kawa_pad_glass-howl-c3
162 | WHITE SIREN  | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/kawa_pad_white-siren-l-c3
163 | CAMPFIRE     | pad-fog       | Pad, Soft              | DRIFT/PAD/101_pad_campfire-c3
164 | HAZE 101     | pad-fog       | Pad, Vintage           | DRIFT/PAD/101_pad_hze-c3
165 | ENSEMBLE FEM | pad-glass     | Pad, Soft              | DRIFT/PAD/vp33_pad_ensemblefemale-c3
166 | CHORD DRONE  | pad-drone     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_ch-drone-06-c
167 | DIGI PAD C   | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_c01
168 | DIGI PAD 05  | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_05-c
169 | DIGI PAD 06  | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_06-c
170 | DIGI PAD 07  | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_07-c
171 | DIGI PAD C02 | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_c02
172 | DIGI PAD C04 | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_c04
173 | 101 CAMPFIRE | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/101_pad_campfire-c3
174 | CH DRONE 01  | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_ch-drone-01-d
175 | VP330 ENS    | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/vp33_pad_ensemblefemalevibe2-c3
176 | 101 HZE      | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/101_pad_hze-c3
177 | JAZZMOINE    | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/101_pad_jazzmoine-c3
178 | 101 OSCAR L  | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/101_pad_oscar-l-as1
179 | 101 TINYRAVE | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/101_pad_tinyrave-c3
180 | WHITE SIRE 2 | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/kawa_pad_white-siren-r-c3
181 | CH DRONE     | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_ch-drone-03-c-solo
182 | VP330 ENS 2  | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/vp33_pad_ensemblemalevibe2-c3
183 | CH DRONE 06  | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_ch-drone-06-c
184 | CH DRONE V3  | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_ch-drone-08-c-v3
185 | CH DRONE 12  | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_ch-drone-12-c
186 | CH DRONE 16  | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_ch-drone-16-c
187 | JZZMN FOG    | pad-fog       | Pad, Vintage           | DRIFT/PAD/101_pad_jazzmoine-c3
188 | OSCAR FOG    | pad-fog       | Pad, Vintage           | DRIFT/PAD/101_pad_oscar-l-as1
189 | TINYRAVE FOG | pad-fog       | Pad, Vintage           | DRIFT/PAD/101_pad_tinyrave-c3
