# Preset bank A: CORE drums
# 001-024 low · 025-048 snap · 049-072 hat · 073-096 metal · 097-160 hand · 161-192 wood · 193-224 slice · 225-256 loop
# slot | NAME (12 max) | recipe        | tags                   | sample on the +Drive | parameters
058 | HH 808 CH 04 | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/808_hat_ch-color-a-04
059 | HH DARK OH   | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/vdm_hat_hh-909-dark-oh
060 | HH HEAVY CH  | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/vdm_hat_hh-505-heavy-ch
061 | HH 808 OH 01 | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/808_hat_oh-color-a-01
062 | HH SKT CH AC | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/vdm_hat_hh-sakata-standard-ch-ac
063 | HH XB LO OH  | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/vdm_hat_hh-xbase-vari-lo-oh
064 | HH 808 CH 01 | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/808_hat_ch-color-b-01
065 | HH 808 OH 03 | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/808_hat_oh-color-b-03
066 | HH 808 CH 2  | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/808_hat_ch-color-b-04
067 | HH 808 OH 06 | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/808_hat_oh-sat-06
068 | HH 909 CH 02 | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/909_hat_ch-color-02
069 | HH 909 OH 02 | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/909_hat_oh-color-02
070 | HH 909 CH 03 | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/909_hat_ch-color-03
073 | BELL SKIN    | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_bell
074 | FINGER CYM   | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_finger-cymbals
075 | GARKABEBS    | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_garkabebs
076 | BELL LO      | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_lo
077 | MINI TIMS    | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_mini-tims
078 | OGENE        | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_ogene
079 | TOCA TOM     | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_toca-tom-bells
080 | WATERPHONE   | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_waterphone
081 | FINGER OPEN  | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_finger-cymbals-open
082 | GARKABEBS RL | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_garkabebs-roll
083 | MINI TIMS 2  | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_mini-tims-soft
084 | OGENE HEAVY  | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_ogene-heavy
085 | WTRPH ROLL   | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_waterphone-roll
086 | FINGER CYM 3 | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_finger-cymbals3
087 | OGENE LIGHT  | metal-bell    | Metallic, Acoustic     | CORE/BELL/skin_bell_ogene-light
097 | CONGA 808    | hand-dry      | Percussion, Electronic | CORE/HAND/808_hand_conga-mid-color-11
098 | CONGA 808 HI | hand-dry      | Percussion, Electronic | CORE/HAND/808_hand_conga-hi-color-11
099 | BONGO CR78   | hand-dry      | Percussion, Vintage    | CORE/HAND/vdm_hand_bongo-cr78-pop-02
100 | CONGA VINYL  | hand-dry      | Percussion, Vintage    | CORE/HAND/vdm_hand_conga-505-standard-01
101 | BONGO DIRT   | hand-dry      | Percussion, Electronic | CORE/HAND/vdm_hand_bongo-727-dirt-01
102 | 808 CONGA LO | hand-dry      | Percussion, Electronic | CORE/HAND/808_hand_conga-low-sat-a-01
103 | BONGO RHYTHM | hand-dry      | Percussion, Electronic | CORE/HAND/vdm_hand_bongo-rhythm-standard-0
104 | CONGA MID    | hand-dry      | Percussion, Electronic | CORE/HAND/808_hand_conga-mid-sat-a-01
105 | CONGA DRIVE  | hand-dry      | Percussion, Electronic | CORE/HAND/vdm_hand_conga-808-drive-02
106 | CONGA DDD 1  | hand-dry      | Percussion, Electronic | CORE/HAND/vdm_hand_conga-ddd1-standard-02
107 | CONGA MR16   | hand-dry      | Percussion, Electronic | CORE/HAND/vdm_hand_conga-mr16-standard-02
